GAME_DATE,SEASON_ID,TEAM_ID,GAME_ID,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,CHAMP
2010-12-31,42009.0,1610612737,40900156.18181818,239.9090909090909,89.45454545454545,33.81818181818182,79.63636363636364,0.4258181818181818,4.545454545454546,13.636363636363637,0.33,17.272727272727273,22.0,0.7785454545454544,13.0,26.90909090909091,39.90909090909091,16.363636363636363,6.363636363636363,5.090909090909091,10.363636363636363,21.181818181818183,-6.818181818181818,0
2011-12-31,42010.0,1610612737,41000168.5,240.5833333333333,86.25,32.916666666666664,75.83333333333333,0.4341666666666666,4.5,13.916666666666666,0.308,15.916666666666666,21.916666666666668,0.7352500000000001,9.0,28.166666666666668,37.16666666666666,18.08333333333333,6.25,5.0,11.25,20.33333333333333,-4.416666666666667,0
2012-12-31,42011.0,1610612737,41100133.5,243.5,82.16666666666667,31.83333333333333,79.33333333333333,0.4031666666666667,5.833333333333333,18.83333333333333,0.3213333333333333,12.666666666666666,16.166666666666668,0.7981666666666668,10.0,32.5,42.5,17.5,5.5,3.333333333333333,14.833333333333334,19.83333333333333,-4.666666666666667,0
2013-12-31,42012.0,1610612737,41200123.5,239.3333333333333,89.33333333333333,32.666666666666664,77.33333333333333,0.4221666666666667,6.166666666666667,18.666666666666668,0.3166666666666666,17.833333333333332,26.166666666666668,0.6649999999999999,8.333333333333334,30.0,38.333333333333336,19.166666666666668,7.333333333333333,3.8333333333333335,12.0,24.166666666666668,-5.166666666666667,0
2014-12-31,42013.0,1610612737,41300104.0,239.57142857142856,92.42857142857144,30.285714285714285,78.71428571428571,0.3898571428571428,11.285714285714286,32.857142857142854,0.3547142857142857,20.571428571428573,24.857142857142858,0.8338571428571429,9.142857142857142,30.142857142857142,39.285714285714285,16.857142857142858,6.571428571428571,4.571428571428571,12.857142857142858,20.857142857142858,-1.0,0
2015-12-31,42014.0,1610612737,41400190.75,243.0625,98.0,36.875,85.5625,0.4316875,9.0625,28.625,0.3143749999999999,15.1875,19.4375,0.7741875000000001,9.8125,33.875,43.6875,23.8125,8.5,4.9375,12.125,19.6875,-0.1875,0
2016-12-31,42015.0,1610612737,41500161.1,242.6,100.1,36.6,84.8,0.4337000000000001,10.6,31.8,0.3332,16.3,20.5,0.7895000000000001,8.9,35.4,44.3,22.6,7.5,7.6,13.7,20.2,-1.0,0
2017-12-31,42016.0,1610612737,41600133.5,240.0,105.5,37.5,84.5,0.4436666666666666,8.333333333333334,27.33333333333333,0.2996666666666667,22.166666666666668,29.0,0.7586666666666666,11.333333333333334,33.0,44.333333333333336,22.33333333333333,6.0,3.333333333333333,15.5,21.33333333333333,-1.1666666666666667,0
2021-12-31,42020.0,1610612737,42000217.44444445,240.27777777777777,106.27777777777776,38.94444444444444,86.77777777777777,0.4497777777777778,11.72222222222222,34.166666666666664,0.3426666666666666,16.666666666666668,20.88888888888889,0.7943333333333333,9.11111111111111,33.27777777777778,42.388888888888886,20.22222222222222,6.722222222222222,4.388888888888889,11.88888888888889,21.22222222222222,-1.5,0
2022-12-31,42021.0,1610612737,42100103.0,240.0,97.4,34.4,78.2,0.438,11.4,35.0,0.326,17.2,22.0,0.7710000000000001,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,-12.0,0
2010-12-31,42009.0,1610612742,40900153.5,240.0,92.83333333333331,34.0,79.33333333333333,0.4298333333333333,6.333333333333333,19.33333333333333,0.3321666666666666,18.5,23.33333333333333,0.8163333333333332,12.0,31.83333333333333,43.833333333333336,18.5,7.5,5.0,11.833333333333334,22.5,-0.5,0
2011-12-31,42010.0,1610612742,41000280.809523806,241.1428571428572,98.23809523809524,34.476190476190474,74.85714285714286,0.4608095238095238,8.761904761904763,22.23809523809524,0.3879523809523809,20.52380952380953,25.38095238095238,0.8066190476190478,9.666666666666666,28.714285714285715,38.38095238095238,20.142857142857142,7.095238095238095,4.095238095238095,12.523809523809524,20.09523809523809,5.761904761904762,1
2012-12-31,42011.0,1610612742,41100152.5,239.25,93.25,31.5,78.0,0.4034999999999999,8.0,21.5,0.379,22.25,26.75,0.82975,10.5,30.0,40.5,15.5,8.0,3.5,14.0,20.75,-6.5,0
2014-12-31,42013.0,1610612742,41300144.0,239.57142857142856,101.14285714285714,39.142857142857146,86.71428571428571,0.4511428571428571,8.428571428571429,22.428571428571427,0.3757142857142857,14.428571428571429,18.857142857142858,0.7841428571428571,11.714285714285714,29.0,40.71428571428572,19.142857142857142,6.571428571428571,4.142857142857143,10.857142857142858,20.285714285714285,-2.0,0
2015-12-31,42014.0,1610612742,41400153.0,240.2,110.0,41.6,92.0,0.4522,7.6,24.4,0.3107999999999999,19.2,25.2,0.7495999999999998,13.6,33.8,47.4,21.2,7.0,4.6,13.6,27.2,-4.2,0
2016-12-31,42015.0,1610612742,41500163.0,239.6,93.8,35.4,81.2,0.4372,6.2,21.4,0.2854,16.8,24.2,0.6968,9.2,25.8,35.0,20.6,6.0,2.4,11.2,24.0,-18.2,0
2020-12-31,42019.0,1610612742,41900153.5,243.8333333333333,117.0,42.16666666666666,89.16666666666667,0.472,13.5,37.5,0.3623333333333333,19.166666666666668,26.5,0.7201666666666666,7.666666666666667,35.5,43.16666666666666,21.5,6.5,3.6666666666666665,12.5,22.5,-9.666666666666666,0
